Episode,Step,FoodLevel,WaterLevel,ThermoLevel,HealthLevel,PositionX,PositionY,PositionZ,Action,Reward,DistanceTraveled,IsEpisodeEnd,HasCollision,ResourceConsumed,ConsumedResourceType,HasEvent,EventType
1,20,-7.60,9.10,0.00,100.00,-10.99,1.00,0.00,Forward,-0.12,1.87,False,False,False,none,False,
1,21,7.00,-7.00,0.00,100.00,-12.47,1.00,0.31,,-0.12,1.51,False,False,False,none,True,resource
1,22,6.97,-7.05,0.00,100.00,-12.82,1.00,0.39,Left,-0.12,0.36,False,False,False,none,False,
1,23,6.94,-7.09,0.00,100.00,-12.82,1.00,0.39,Forward,-1.86,0.00,False,False,False,none,False,
1,24,6.91,-7.14,0.00,100.00,-14.65,1.00,0.00,Forward,-1.86,1.87,False,False,False,none,False,
1,25,6.88,-7.18,0.00,100.00,-16.48,1.00,-0.39,None,-1.85,1.87,False,False,False,none,False,
1,26,6.85,-7.23,0.00,100.00,-16.48,1.00,-0.39,None,-1.85,0.00,False,False,False,none,False,
1,27,6.82,-7.27,0.00,100.00,-16.48,1.00,-0.39,None,-1.85,0.00,False,False,False,none,False,
1,28,6.79,-7.32,0.00,100.00,-16.48,1.00,-0.39,None,-1.85,0.00,False,False,False,none,False,
1,29,6.76,-7.36,0.00,100.00,-16.48,1.00,-0.39,None,-1.84,0.00,False,False,False,none,False,
1,30,6.73,-7.41,0.00,100.00,-16.48,1.00,-0.39,None,-1.84,0.00,False,False,False,none,False,
1,31,6.70,-7.45,0.00,100.00,-16.48,1.00,-0.39,None,-1.84,0.00,False,False,False,none,False,
1,32,6.67,-7.50,0.00,100.00,-16.48,1.00,-0.39,None,-1.83,0.00,False,False,False,none,False,
1,33,6.64,-7.54,0.00,100.00,-16.48,1.00,-0.39,None,-1.83,0.00,False,False,False,none,False,
