Episode,Step,FoodLevel,WaterLevel,ThermoLevel,HealthLevel,PositionX,PositionY,PositionZ,Action,Reward,DistanceTraveled,IsEpisodeEnd,HasCollision,ResourceConsumed,ConsumedResourceType,HasEvent,EventType
1,18,-7.54,6.19,0.00,100.00,-2.03,1.00,2.25,Forward,-0.07,1.87,False,False,False,none,False,
1,19,-7.57,6.14,0.00,100.00,-3.86,1.00,2.64,Left,-0.08,1.87,False,False,False,none,False,
1,20,-7.60,6.10,0.00,100.00,-3.86,1.00,2.64,Forward,-0.08,0.00,False,False,False,none,False,
1,21,-7.63,6.05,0.00,100.00,-5.69,1.00,2.25,Forward,-0.09,1.87,False,False,False,none,False,
1,22,-7.66,6.01,0.00,100.00,-7.52,1.00,1.86,Forward,-0.09,1.87,False,False,False,none,False,
1,23,-7.69,5.96,0.00,100.00,-9.35,1.00,1.47,Forward,-0.09,1.87,False,False,False,none,False,
1,24,-7.72,5.92,0.00,100.00,-11.18,1.00,1.08,Forward,-0.10,1.87,False,False,False,none,False,
1,25,7.00,-7.00,0.00,100.00,-12.30,1.00,0.84,,-0.10,1.15,False,False,False,none,True,resource
1,26,6.97,-7.05,0.00,100.00,-13.01,1.00,0.69,Forward,-0.10,0.72,False,False,False,none,False,
1,27,6.94,-7.09,0.00,100.00,-14.84,1.00,0.30,Forward,-1.86,1.87,False,False,False,none,False,
1,28,6.91,-7.14,0.00,100.00,-16.67,1.00,-0.08,Forward,-1.86,1.87,False,False,False,none,False,
1,29,6.88,-7.18,0.00,100.00,-18.50,1.00,-0.47,None,-1.85,1.87,False,False,False,none,False,
1,30,6.85,-7.23,0.00,100.00,-18.50,1.00,-0.47,None,-1.85,0.00,False,False,False,none,False,
1,31,6.82,-7.27,0.00,100.00,-18.50,1.00,-0.47,None,-1.85,0.00,False,False,False,none,False,
1,32,6.79,-7.32,0.00,100.00,-18.50,1.00,-0.47,None,-1.85,0.00,False,False,False,none,False,
1,33,6.76,-7.36,0.00,100.00,-18.50,1.00,-0.47,Right,-1.84,0.00,False,False,False,none,False,
1,34,6.73,-7.41,0.00,100.00,-18.50,1.00,-0.47,Forward,-1.84,0.00,False,False,False,none,False,
1,35,6.70,-7.45,0.00,100.00,-20.34,1.00,-0.08,Forward,-1.84,1.87,False,False,False,none,False,
1,36,6.67,-7.50,0.00,100.00,-20.92,1.00,0.05,None,-1.83,0.61,False,False,False,none,False,
1,37,6.64,-7.54,0.00,100.00,-20.92,1.00,0.05,None,-1.83,0.00,False,False,False,none,False,
1,38,6.61,-7.59,0.00,100.00,-20.92,1.00,0.05,None,-1.83,0.00,False,False,False,none,False,
1,39,6.58,-7.63,0.00,100.00,-20.92,1.00,0.05,Eat,-1.83,0.00,False,False,False,none,False,
1,40,6.58,-7.63,0.00,100.00,-20.92,1.00,0.05,Eat_Food,-1.82,0.00,True,False,True,food,False,
1,41,6.58,-7.63,0.00,100.00,-20.92,1.00,0.05,,-1.82,0.00,True,False,True,food,False,
1,1,-4.03,6.96,0.00,100.00,0.00,1.00,0.00,None,-1.82,0.00,False,False,True,food,False,
1,2,-4.06,6.91,0.00,100.00,0.00,1.00,0.00,Left,-0.37,0.00,False,False,False,none,False,
1,3,-4.09,6.87,0.00,100.00,0.00,1.00,0.00,Left,-0.37,0.00,False,False,False,none,False,
1,4,-4.12,6.82,0.00,100.00,0.00,1.00,0.00,Left,-0.36,0.00,False,False,False,none,False,
1,5,-4.15,6.78,0.00,100.00,0.00,1.00,0.00,Left,-0.36,0.00,False,False,False,none,False,
1,6,-4.18,6.73,0.00,100.00,0.00,1.00,0.00,Left,-0.36,0.00,False,False,False,none,False,
1,7,-4.21,6.68,0.00,100.00,0.00,1.00,0.00,Left,-0.35,0.00,False,False,False,none,False,
1,8,-4.24,6.64,0.00,100.00,0.00,1.00,0.00,Forward,-0.35,0.00,False,False,False,none,False,
1,9,-4.27,6.59,0.00,100.00,-1.51,1.00,1.10,Left,-0.35,1.87,False,False,False,none,False,
1,10,-4.30,6.55,0.00,100.00,-1.51,1.00,1.10,Left,-0.34,0.00,False,False,False,none,False,
1,11,-4.33,6.50,0.00,100.00,-1.51,1.00,1.10,Forward,-0.34,0.00,False,False,False,none,False,
1,12,-4.36,6.46,0.00,100.00,-3.35,1.00,0.71,Forward,-0.33,1.87,False,False,False,none,False,
1,13,-4.39,6.41,0.00,100.00,-5.18,1.00,0.32,Forward,-0.33,1.87,False,False,False,none,False,
1,14,-4.42,6.37,0.00,100.00,-7.01,1.00,-0.07,Forward,-0.33,1.87,False,False,False,none,False,
1,15,-4.45,6.32,0.00,100.00,-8.84,1.00,-0.46,Forward,-0.32,1.87,False,False,False,none,False,
1,16,-4.48,6.28,0.00,100.00,-10.67,1.00,-0.85,Forward,-0.32,1.87,False,False,False,none,False,
1,17,7.00,-7.00,0.00,100.00,-12.50,1.00,-1.23,,-0.32,1.87,False,False,False,none,True,resource
1,18,6.97,-7.05,0.00,100.00,-12.50,1.00,-1.23,Forward,-0.32,0.00,False,False,False,none,False,
1,19,6.94,-7.09,0.00,100.00,-14.33,1.00,-1.62,Forward,-1.86,1.87,False,False,False,none,False,
1,20,6.91,-7.14,0.00,100.00,-16.16,1.00,-2.01,Forward,-1.86,1.87,False,False,False,none,False,
1,21,6.88,-7.18,0.00,100.00,-17.99,1.00,-2.40,Right,-1.85,1.87,False,False,False,none,False,
1,22,6.85,-7.23,0.00,100.00,-17.99,1.00,-2.40,Forward,-1.85,0.00,False,False,False,none,False,
1,23,6.82,-7.27,0.00,100.00,-19.82,1.00,-2.01,Right,-1.85,1.87,False,False,False,none,False,
1,24,6.79,-7.32,0.00,100.00,-19.82,1.00,-2.01,Right,-1.85,0.00,False,False,False,none,False,
1,25,6.76,-7.36,0.00,100.00,-19.82,1.00,-2.01,Forward,-1.84,0.00,False,False,False,none,False,
1,26,6.73,-7.41,0.00,100.00,-20.76,1.00,-0.39,Right,-1.84,1.87,False,False,False,none,False,
1,27,6.70,-7.45,0.00,100.00,-20.76,1.00,-0.39,Forward,-1.84,0.00,False,False,False,none,False,
1,28,6.67,-7.50,0.00,100.00,-20.97,1.00,0.79,None,-1.83,1.20,False,False,False,none,False,
1,29,6.64,-7.54,0.00,100.00,-20.97,1.00,0.79,Right,-1.83,0.00,False,False,False,none,False,
1,30,6.61,-7.59,0.00,100.00,-20.97,1.00,0.79,Right,-1.83,0.00,False,False,False,none,False,
1,31,6.58,-7.63,0.00,100.00,-20.97,1.00,0.79,None,-1.83,0.00,False,False,False,none,False,
1,32,6.55,-7.68,0.00,100.00,-20.97,1.00,0.79,None,-1.82,0.00,False,False,False,none,False,
1,33,6.52,-7.72,0.00,100.00,-20.97,1.00,0.79,None,-1.82,0.00,False,False,False,none,False,
1,34,6.49,-7.77,0.00,100.00,-20.97,1.00,0.79,None,-1.82,0.00,False,False,False,none,False,
1,35,6.46,-7.81,0.00,100.00,-20.97,1.00,0.79,None,-1.81,0.00,False,False,False,none,False,
