Episode,Step,FoodLevel,WaterLevel,ThermoLevel,HealthLevel,PositionX,PositionY,PositionZ,Action,Reward,DistanceTraveled,IsEpisodeEnd,HasCollision
3,38,-7.51,6.66,0.00,52.73,-7.24,1.00,5.58,Move_Eat,-0.48,0.00,False,False
3,39,-7.51,6.66,0.00,52.73,-7.24,1.00,5.58,Eat_Food,-0.48,0.00,False,False
3,40,-7.51,6.66,0.00,52.73,-7.24,1.00,5.58,,-0.48,0.00,True,False
4,1,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,Move_None,-0.48,0.00,False,False
4,2,-7.03,6.98,0.00,100.00,0.00,1.00,-12.00,Move_Forward,0.00,0.00,False,False
4,3,-7.04,6.97,0.00,100.00,0.00,1.00,-10.13,Move_Forward,0.00,1.87,False,False
4,4,-7.05,6.96,0.00,100.00,0.00,1.00,-8.26,Move_Forward,-0.01,1.87,False,False
4,5,-7.07,6.96,0.00,100.00,0.00,1.00,-6.38,Move_Forward,-0.01,1.87,False,False
4,6,-7.08,6.95,0.00,100.00,0.00,1.00,-5.49,Move_None,-0.01,0.90,False,False
4,7,-7.09,6.94,0.00,100.00,0.00,1.00,-5.50,Move_None,-0.01,0.01,False,False
4,8,-7.11,6.93,0.00,100.00,0.00,1.00,-5.50,Move_None,-0.01,0.00,False,False
4,9,-7.12,6.92,0.00,100.00,0.00,1.00,-5.50,Move_None,-0.01,0.00,False,False
4,10,-7.14,6.91,0.00,100.00,0.00,1.00,-5.50,Move_None,-0.02,0.00,False,False
4,11,-7.15,6.90,0.00,100.00,0.00,1.00,-5.50,Move_None,-0.02,0.00,False,False
4,12,-7.16,6.89,0.00,100.00,0.00,1.00,-5.50,Move_None,-0.02,0.00,False,False
4,13,-7.18,6.88,0.00,100.00,0.00,1.00,-5.50,Move_None,-0.02,0.00,False,False
4,14,-7.19,6.87,0.00,100.00,0.00,1.00,-5.50,Move_None,-0.02,0.00,False,False
4,15,-7.20,6.87,0.00,100.00,0.00,1.00,-5.50,Move_None,-0.02,0.00,False,False
4,16,-7.22,6.86,0.00,100.00,0.00,1.00,-5.50,Move_Right,-0.03,0.00,False,False
4,17,-7.23,6.85,0.00,100.00,0.00,1.00,-5.66,Move_Right,-0.03,0.16,False,False
4,18,-7.24,6.84,0.00,100.00,0.00,1.00,-5.71,Move_Right,-0.03,0.05,False,False
4,19,-7.26,6.83,0.00,100.00,0.00,1.00,-5.71,Move_Right,-0.03,0.00,False,False
4,20,-7.27,6.82,0.00,100.00,0.00,1.00,-5.71,Move_Forward,-0.03,0.00,False,False
4,21,-7.28,6.81,0.00,100.00,1.86,1.00,-5.90,Move_Left,-0.03,1.87,False,False
4,22,-7.30,6.80,0.00,100.00,1.86,1.00,-5.90,Move_Left,-0.04,0.00,False,False
4,23,-7.31,6.79,0.00,100.00,1.86,1.00,-5.90,Move_Left,-0.04,0.00,False,False
4,24,-7.32,6.78,0.00,100.00,1.86,1.00,-5.90,Move_Forward,-0.04,0.00,False,False
4,25,-7.34,6.78,0.00,100.00,2.62,1.00,-4.19,Move_Forward,-0.04,1.87,False,False
4,26,-7.35,6.77,0.00,100.00,3.38,1.00,-2.48,Move_Forward,-0.04,1.87,False,False
4,27,-7.36,6.76,0.00,100.00,4.15,1.00,-0.77,Move_Forward,-0.05,1.87,False,False
4,28,-7.38,6.75,0.00,100.00,4.91,1.00,0.94,Move_Forward,-0.05,1.87,False,False
4,29,-7.39,6.74,0.00,100.00,5.67,1.00,2.65,Move_Forward,-0.05,1.87,False,False
4,30,-7.41,6.73,0.00,100.00,6.43,1.00,4.36,Move_Forward,-0.05,1.87,False,False
4,31,-7.42,6.72,0.00,100.00,7.19,1.00,6.07,Move_Left,-0.05,1.87,False,False
4,32,-7.43,6.71,0.00,100.00,7.19,1.00,6.07,Move_Eat,-0.05,0.00,False,False
4,33,-7.43,6.71,0.00,100.00,7.19,1.00,6.07,Drink_Water,-0.06,0.00,False,False
4,34,-7.43,6.71,0.00,100.00,7.19,1.00,6.07,,-0.06,0.00,True,False
5,1,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,Move_None,-0.06,0.00,False,False
